"from","to","ownership_id","date","amount"
"85732209385","79و988","349891","1992-10-15","240625000"
"60188006639","8451621350","909029","1996-04-17","236583000"
"60188006639","7842619317","392804","1978-06-22","279863000"
"60188006639","42ر882","324100","1992-05-01","368138000"
"28383916795","4915869205","645711","1979-07-19","146886000"
"28383916795","98ق593","524658","2002-07-22","230930000"
"28383916795","45س012","773982","2020-03-01","375232000"
"28383916795","29ی709","196328","2015-10-10","286401000"
"54544017759","1219079769","635320","2004-05-03","475470000"
"54544017759","8271117341","317688","1974-05-25","740298000"
"54544017759","2668061455","103093","2009-02-21","780743000"
"48726662358","94ط155","701085","2002-05-12","91452000"
"48726662358","18ی510","322506","1972-03-14","297856000"
"31760416046","8850583816","101999","1996-07-14","235584000"
"31760416046","1966353456","573077","1975-11-23","479672000"
"31760416046","9980497450","629395","1975-02-17","758022000"
"24092550277","24ب481","886317","2004-11-16","380170000"
"24092550277","72ب298","158600","2002-02-28","99997000"
"32298404270","1862285171","954560","1996-03-17","113131000"
"32298404270","7591053257","759667","2008-01-13","614782000"
"32298404270","5298028070","955708","2008-10-24","515149000"
"32298404270","27ج305","473681","2000-02-07","89255000"
"32298404270","48ی141","347709","2009-06-18","239796000"
"32298404270","59ب395","497433","1987-01-14","294868000"
"56538345203","98س953","725101","2011-11-15","102493000"
"56538345203","79س855","391429","1976-05-09","217511000"
"56538345203","61و956","424742","2019-08-16","278678000"
"10607986171","24س520","139098","2017-07-12","291130000"
"10607986171","12ب631","999495","1994-01-25","198027000"
"10607986171","15ر919","136546","1983-10-26","373667000"
"33815865259","3090403446","265265","2015-03-14","781010000"
"33815865259","3337509964","574378","2001-09-16","371454000"
"33815865259","4192813073","966579","1985-12-26","270940000"
"33815865259","92ر192","810266","1992-11-24","298022000"
"33815865259","50ط417","789795","2015-11-21","376418000"
"33815865259","33ج514","916308","1972-01-01","134537000"
"72794268260","6634182890","671645","1974-05-26","101239000"
"72794268260","34ج443","943046","2018-09-26","364751000"
"72794268260","13ق517","369251","1997-09-07","23168000"
"72794268260","77و290","156873","1986-12-24","160014000"
"28999533776","3135624233","352961","2016-07-24","754709000"
"28999533776","1838294848","331048","2012-11-12","448501000"
"28999533776","3651618470","352644","1979-01-09","573925000"
"28999533776","93ق162","212656","1989-08-12","317651000"
"55273911335","78ب289","565447","1986-09-08","186133000"
"55273911335","51ب290","739013","2020-02-06","174396000"
"80930558938","85س483","897927","2001-09-27","384514000"
"80930558938","33ق563","205097","1997-07-19","232824000"
"88322428038","4515097684","246139","1992-05-07","685137000"
"97720354048","2749808177","144161","1972-07-30","627924000"
"97720354048","89ق733","608113","1984-06-15","146895000"
"97720354048","25ر493","950815","1993-03-15","344950000"
"97720354048","83و840","371598","1992-09-03","148193000"
"84137837927","5263019659","732644","1993-08-29","585663000"
"84137837927","87ط137","478211","1982-03-13","216185000"
"84137837927","48ط418","394688","1991-07-24","289575000"
"21139927654","7689941210","128163","1975-07-24","504310000"
"21139927654","8079159056","325190","2018-04-22","418184000"
"21139927654","90ط780","788924","1994-11-06","376733000"
"24558248652","1758875719","893821","1991-10-16","585747000"
"24558248652","2462805317","582061","1984-02-18","464460000"
"24558248652","2937761227","199530","1995-05-16","633096000"
"20004916502","9006752151","799318","2005-10-02","569216000"
"20004916502","9673941602","768000","2007-09-25","496889000"
"20004916502","9662198340","667849","1975-12-04","215016000"
"81381128868","8132883564","863125","2012-04-24","283227000"
"81381128868","4359614013","400104","2006-03-08","180568000"
"81381128868","50ط091","499283","1982-04-10","120692000"
"81381128868","13ط479","297096","1973-09-28","341403000"
"81381128868","31و593","401227","1999-03-27","137603000"
"45861772293","70ر409","456277","1984-10-03","107414000"
"92960996487","7127511159","559665","1976-06-16","381661000"
"92960996487","3682466154","425714","1982-06-23","700521000"
"92960996487","2982812812","949057","1971-11-20","474359000"
"92960996487","62ب120","655447","2004-10-23","338615000"
"92960996487","27ط177","953205","1991-09-25","384520000"
"92960996487","17ج155","539588","1976-05-02","56739000"
"96475589663","48ط671","221209","1981-09-01","166685000"
"96475589663","18ق837","322306","1979-01-23","166764000"
"96475589663","50ط578","699271","1977-03-13","196837000"
"61341499785","8289640505","532162","1977-10-28","138398000"
"61341499785","12ج358","747189","2006-04-15","146035000"
"61341499785","54و021","890614","2014-08-15","263196000"
"61341499785","74ج977","952080","2020-01-14","128890000"
"24560571016","4540581012","838255","1993-08-01","737158000"
"24560571016","15س051","320564","1999-03-29","151818000"
"24560571016","62ج487","270383","2007-07-28","251675000"
"22914085774","60ر443","713096","1974-10-12","87028000"
"22914085774","46ط881","348481","1989-01-13","64645000"
"22914085774","43ی295","737531","1999-09-13","398504000"
"82811844543","76و428","549454","1973-06-26","393411000"
"49450002731","9024400502","355805","2020-09-24","114004000"
"49450002731","89ط532","800683","1988-05-01","361772000"
"49450002731","12و308","936951","2009-04-28","281402000"
"49450002731","34ط796","530224","2013-12-04","368190000"
"47732063710","1494593764","162305","2015-05-26","507130000"
"47732063710","3312431933","149034","2002-07-22","476807000"
"47732063710","77ر248","654671","2018-12-12","133392000"
"47732063710","42ج019","212027","2020-08-30","73226000"
"47732063710","89س469","350442","1989-04-12","209699000"
"48863303402","9489460640","449627","1975-09-28","527224000"
"48863303402","68ب517","416484","1993-05-26","295975000"
"98177198387","4897247998","168035","1973-12-06","509807000"
"98177198387","3770055929","307221","1980-11-09","443062000"
"98177198387","3419982794","273354","2002-02-02","676477000"
"98177198387","19و807","136590","1999-07-26","372581000"
"98177198387","21ی722","266797","1971-06-03","367336000"
"98177198387","10ق628","459857","2012-03-06","144260000"
"46136923346","2952056303","836247","2008-12-21","717724000"
"46136923346","46ق462","287299","1982-05-06","251613000"
"60804931474","8497334207","275318","2007-07-14","466070000"
"60804931474","4511442482","883708","1998-10-05","241766000"
"60804931474","30ب237","702299","2020-10-07","323326000"
"60804931474","59و913","161535","2019-05-02","153737000"
"60804931474","28ج780","614414","1994-04-28","92505000"
"90375341495","6973656473","725742","1977-02-17","443182000"
"90375341495","98ط239","752690","2008-12-24","55624000"
"90375341495","57ب674","229506","1983-03-07","164417000"
"36858458716","52ر777","928588","2002-04-28","255159000"
"36858458716","57ب579","492125","1978-05-29","77775000"
"25199001087","50ی327","650440","1976-10-21","121005000"
"25199001087","92ی550","458147","2003-03-30","388271000"
"20797922737","8029230820","689755","1987-06-04","208416000"
"80011464146","8087609783","511828","2007-10-18","454949000"
"80011464146","8426273114","358087","2005-03-15","182204000"
"14903820054","6325169538","665238","1993-05-27","762916000"
"14903820054","2106552491","814984","1993-12-01","443944000"
"14903820054","4577765921","121048","1995-05-31","278108000"
"14903820054","77ی037","266227","1973-11-02","280471000"
"61816751572","7035104366","930738","2015-08-08","541763000"
"61816751572","7870722707","338398","2014-03-03","465158000"
"61816751572","30ط484","435684","2004-11-25","339531000"
"14257442495","26ط349","832876","1995-03-01","327054000"
"14257442495","52ب746","108751","1990-10-02","171453000"
"14257442495","29ج614","117433","2012-05-06","134239000"
"45947383146","9667177953","286692","2005-01-15","790139000"
"45947383146","9411772906","473246","1973-07-30","630460000"
"45947383146","4050694134","885727","2002-02-22","122178000"
"45947383146","37ط704","204021","2019-10-14","83304000"
"45947383146","13ر320","489028","1970-07-04","376423000"
"45416509818","3346132654","346718","1981-12-29","170434000"
"45416509818","57ی464","650305","1980-10-24","126591000"
"45416509818","69و913","613007","2015-02-19","345305000"
"78573940577","90ب544","561823","1981-01-18","78530000"
"78573940577","12ط165","955910","1988-09-04","254488000"
"36662873520","8033916166","810583","1981-03-04","785353000"
"36662873520","7612845125","898479","1971-09-24","365722000"
"36662873520","3510784190","333008","1979-07-12","168506000"
"76217215095","2147790531","732086","2017-08-16","403330000"
"76217215095","14ی583","408843","1996-12-17","227127000"
"58660834441","2995089755","732244","2009-05-23","566178000"
"58660834441","43س594","699842","1985-01-31","103379000"
"58660834441","86س163","801440","1996-10-11","365406000"
"58660834441","17ط226","359684","2005-06-23","83180000"
"77033104360","1197327203","786602","1970-02-28","225487000"
"77033104360","23ب573","765031","1995-12-10","372591000"
"77033104360","10و468","671063","1971-05-10","180597000"
"77033104360","22ر341","227582","1995-03-29","204597000"
"92069612543","2904718231","491969","1986-10-29","695979000"
"92069612543","5058349785","866579","2001-07-07","341576000"
"92069612543","4707700365","584827","1983-09-09","228331000"
"92069612543","65ر261","810858","2018-08-09","330457000"
"48654367050","2370792918","386647","2008-06-17","527442000"
"48654367050","5097765084","490382","2007-04-17","663912000"
"48654367050","7920602833","801210","1970-06-17","328862000"
"47775589406","7779957385","209909","1971-10-28","252993000"
"47775589406","9993608077","764768","1997-04-10","425004000"
"47775589406","43و108","149409","1997-11-14","24059000"
"47775589406","58ط175","533569","2015-06-08","55995000"
"41749194408","7664949937","862203","2020-01-15","559856000"
"41749194408","1990054503","680827","2019-12-15","704040000"
"41749194408","4310733739","339191","1978-02-01","519154000"
"41749194408","94ر386","316276","2018-05-24","280363000"
"41749194408","63ج552","533950","2002-06-24","42988000"
"41749194408","96و033","135074","2010-12-22","45692000"
"68773028281","4143522722","917927","2010-10-22","282237000"
"68773028281","7940411761","748374","2013-05-14","260381000"
"68773028281","63س535","683882","1976-02-10","141224000"
"80684470324","6409222728","634646","1990-01-10","234925000"
"80684470324","6941015358","882676","2004-10-27","137181000"
"80684470324","4542771822","476369","1988-05-22","328830000"
"80684470324","18ر383","780939","1998-02-12","354440000"
"80684470324","51ی234","148530","1986-01-08","56834000"
"80684470324","67ج099","806121","1997-07-30","189355000"
"39138568885","5029989149","998926","1999-05-25","155511000"
"39138568885","5880690479","144860","1981-06-08","140552000"
"39138568885","8634465379","329365","1979-06-01","732692000"
"39138568885","15ر568","401612","2001-07-24","376166000"
"39138568885","76و889","122169","2010-12-05","383081000"
"50625065199","21ی291","811044","2003-09-18","32459000"
"72873629531","3078410281","343677","1970-04-14","550975000"
"72873629531","7110185576","691117","2001-06-11","725592000"
"72873629531","66س957","665727","1988-09-06","293371000"
"47222930907","6858774810","376615","1985-04-12","416719000"
"47222930907","6261051723","924741","1988-10-31","308855000"
"47222930907","22ط869","502215","1995-01-01","203993000"
"47222930907","84س620","917619","1976-04-22","346446000"
"44061388366","8074977561","475816","1979-04-06","493141000"
"44061388366","7924770119","405459","1984-11-21","392568000"
"44061388366","2517897659","591683","1973-08-03","201836000"
"44061388366","94ج515","178228","1996-11-07","337784000"
"44061388366","95ب203","486639","2018-06-11","194944000"
"23428921295","4570835529","894088","1997-07-21","477124000"
"23428921295","39ط259","845583","1984-07-30","314764000"
"23428921295","16و219","154767","1970-05-14","310220000"
"72570178583","2960907257","621444","1999-11-20","632867000"
"72570178583","1248808936","882253","1986-02-27","485520000"
"72570178583","70ی653","151732","1979-09-05","152379000"
"72570178583","69ق450","445555","1981-07-15","87962000"
"72570178583","56ط495","539448","1998-01-03","53147000"
"98583561066","98ی907","384256","1979-07-17","36650000"
"94634290557","62و213","162151","2013-12-20","367541000"
"94634290557","24ر560","312510","1980-08-18","100393000"
"94634290557","57ی558","808901","2015-08-22","245899000"
"53375514938","1106625407","189581","1971-02-14","743116000"
"53375514938","9871468567","181760","1994-11-19","154440000"
"53375514938","9668723912","989146","1982-05-18","618645000"
"53375514938","12س485","636334","2011-01-07","163692000"
"53375514938","77ط516","763362","1990-11-11","220038000"
"53375514938","62ی850","233861","1983-05-07","73018000"
"35984479455","3706667741","959593","1988-10-31","572879000"
"35984479455","4341833664","607228","1997-03-28","718477000"
"35984479455","79ق138","332589","2008-11-27","31742000"
"35984479455","76س334","461874","1975-08-05","358549000"
"97468966237","9700217232","851008","2012-04-15","470199000"
"97468966237","5189014165","626634","1988-08-16","106905000"
"97468966237","77س104","487282","2018-02-03","328134000"
"97468966237","14ب558","575483","1981-10-04","182169000"
"68497023621","8403232526","615943","1995-02-20","794714000"
"68497023621","5990771270","769215","2007-04-05","376172000"
"68497023621","5323416821","769634","1977-07-19","552196000"
"35875073966","60ط712","122734","1979-09-08","170552000"
"35875073966","17و869","871686","1981-10-02","99763000"
"35875073966","42ج465","711725","1980-11-01","143043000"
"68006135388","4682086732","220552","1982-10-19","558831000"
"71998220358","4721337819","546244","2015-01-03","127301000"
"71998220358","96و619","666931","1993-09-15","227168000"
"71998220358","78س612","513389","1983-01-07","155786000"
"20006621181","6277149205","329097","1976-03-17","515320000"
"20006621181","4649867682","469643","2017-09-10","571770000"
"20006621181","58ب738","105860","2006-11-02","315249000"
"65554016055","8429040291","858314","2015-05-27","136039000"
"65554016055","2607986569","404255","1997-02-20","512759000"
"65554016055","12ی432","978556","1993-12-30","92869000"
"65554016055","45س743","612150","1996-09-24","301251000"
"65554016055","41و524","279477","2014-03-15","135647000"
"74835260863","1277390425","879855","2006-09-01","607763000"
"74835260863","4406715923","413135","1975-02-13","416164000"
"74835260863","7954388894","896763","1992-09-09","322656000"
"98033996824","7105511223","979454","1976-06-07","154559000"
"98033996824","3480162083","241197","1977-02-09","738733000"
"43003305078","2554844440","940354","1984-04-19","108212000"
"43003305078","5857395492","549980","1972-03-31","262933000"
"38374777773","3957253217","949786","1981-09-03","283818000"
"38374777773","1610849420","653205","2002-04-08","356562000"
"38374777773","5416209896","488034","1999-01-04","146782000"
"70745935397","8564454060","355486","1972-09-07","726119000"
"70745935397","9272060327","709236","2015-02-26","514341000"
"70745935397","89ج943","231154","2017-08-20","356275000"
"10674958511","13ط847","536279","1978-08-02","240762000"
"10674958511","35ب788","864771","2018-05-17","383825000"
"37842331430","1200094643","150993","2014-10-30","510031000"
"37842331430","7910324229","646732","1987-03-28","126617000"
"37842331430","6085743191","217016","2012-03-13","616269000"
"37842331430","21ر687","215772","1992-09-14","329144000"
"38941449837","7314698378","750601","1979-01-01","214802000"
"38941449837","5458873368","242329","1995-01-07","326762000"
"38941449837","9582761642","792355","1985-12-22","198422000"
"38941449837","46ب404","187417","2020-01-30","119853000"
"50737338668","5651880979","831934","1982-03-25","649422000"
"50737338668","52ط199","565506","2010-02-17","194199000"
"39491927066","2973676995","526201","2008-04-08","169270000"
"39491927066","6270454825","653611","1972-12-01","401516000"
"39491927066","3385051925","104936","2005-09-08","661645000"
"39491927066","45ب763","832755","1992-04-09","380916000"
"39491927066","41ب018","572779","1971-12-17","314958000"
"39491927066","16ج093","329210","2012-03-29","99445000"
"66708035134","2683248636","432804","2008-04-15","480705000"
"66708035134","3580078563","179277","1970-06-16","770394000"
"46057070041","98ط771","235814","2012-10-08","234501000"
"46057070041","52ج253","484724","2015-04-01","179069000"
"46057070041","73ی428","831296","1994-08-13","99047000"
"18276041535","5147279910","551088","2006-06-14","607191000"
"18276041535","48ب200","369950","1973-07-24","194406000"
"64968451583","7977115484","802698","1993-11-08","278501000"
"64968451583","1913068016","882306","2008-10-27","782478000"
"64968451583","70ط173","170075","2013-03-29","343431000"
"64968451583","46و078","202990","2011-10-05","138719000"
"64968451583","60ج831","663738","1976-12-16","131008000"
"85107983233","1605703744","633753","1973-08-13","748582000"
"85107983233","7264232554","835508","2010-06-06","308194000"
"85107983233","8460709411","818195","1984-01-13","167852000"
"85107983233","29ی763","405239","2015-02-06","263656000"
"85107983233","42ق105","605552","2000-06-15","372541000"
"85107983233","92ی430","585989","2002-03-28","119032000"
"62059245476","4214879389","989617","2008-09-04","318503000"
"62059245476","7823855600","566768","1989-02-19","730849000"
"62059245476","7787877682","156423","2010-08-14","186460000"
"62059245476","83ج238","505279","1993-06-18","114904000"
"62059245476","71و916","393306","2009-01-03","243891000"
"62059245476","58ی629","985857","2007-04-04","38100000"
"47896976730","3888979716","649374","2001-03-05","709120000"
"47896976730","51و735","941918","1994-11-02","132199000"
"38563671166","4899046715","724967","2010-06-10","330138000"
"38563671166","9164981943","605940","2018-06-30","266954000"
"19123629774","1850319851","491732","2007-04-23","510993000"
"19123629774","4594044725","844808","1997-08-07","787521000"
"19123629774","46ق931","288143","2002-04-06","261892000"
"19123629774","58ب319","931921","2020-08-22","68691000"
"11015369365","4459384218","443779","2005-12-21","152351000"
"46103176963","7996610177","669096","1998-03-29","212206000"
"46103176963","9714201011","427032","2017-02-25","593505000"
"46103176963","8237374425","912188","1981-11-12","103712000"
"46103176963","25ب426","981432","1990-01-22","283010000"
"46103176963","76ر784","986280","1977-07-02","328245000"
"46103176963","99ر627","364513","1970-12-09","39914000"
"78356214193","6174506170","397224","1983-04-09","110131000"
"78356214193","9259719529","565913","1980-06-20","744049000"
"78356214193","73س280","222183","1971-09-24","102765000"
"78356214193","89س660","962195","1994-07-10","133333000"
"84087107477","68ط115","547114","1987-12-29","50411000"
"84087107477","83و719","870391","2015-04-30","166077000"
"73333406253","1267167103","825207","2000-03-01","176751000"
"73333406253","89ط246","862756","2019-05-23","165462000"
"73333406253","86ق577","426547","2016-12-08","82346000"
"40269740848","8555990811","332382","2005-04-26","656391000"
"40269740848","8939256956","416969","2019-03-09","650838000"
"40269740848","1763553995","166045","1989-11-30","233547000"
"40269740848","44و536","548036","1980-12-19","149843000"
"40269740848","27ر009","461541","2004-04-29","369459000"
"40269740848","32ط808","335104","2016-07-18","100161000"
"50455421432","7869042705","490772","1999-08-18","514125000"
"50455421432","64ج098","711728","2005-04-05","21734000"
"50455421432","38و953","266634","1975-11-16","241332000"
"73695949501","8063207423","840230","2005-06-26","757532000"
"73695949501","2293892430","719408","2019-10-14","237796000"
"73695949501","9106729353","581491","1993-01-16","437754000"
"73695949501","46ج583","768315","2007-04-17","283791000"
"73695949501","48ط775","807541","2020-01-04","41163000"
"73695949501","79ق057","200188","1988-01-23","184505000"
"53575224086","8449309310","361778","1983-02-09","551361000"
"53575224086","5518029051","550010","1970-08-10","722406000"
"53575224086","8912997001","566471","2001-12-26","558919000"
"53575224086","99ب576","338043","1989-06-26","96557000"
"22474174919","6930242079","389566","2017-06-10","726439000"
"22474174919","5849788374","314057","1992-05-09","739313000"
"22474174919","2558958497","521367","1973-07-06","691013000"
"40141197505","6120142376","780335","1991-07-15","250893000"
"40141197505","5050264177","513772","2007-11-09","232436000"
"40141197505","92ج957","914736","1981-11-04","319834000"
"10778668672","9156239188","863328","1975-01-12","400632000"
"10778668672","58س500","702209","1988-04-27","72357000"
"37463937292","3038145609","783746","1995-12-03","361710000"
"37463937292","58س187","811821","2020-09-03","367453000"
"37463937292","57ط807","969544","2004-07-14","143802000"
"37463937292","23و139","493425","2005-11-14","91928000"
"37390649547","4859499364","848322","2007-07-27","639820000"
"37390649547","6141834899","605906","1994-12-08","308092000"
"20682467337","91ج298","488173","1997-08-23","306012000"
"58381589728","3851241716","613764","1989-04-17","125913000"
"58381589728","8377267336","384538","1971-01-09","258197000"
"58381589728","62س043","592715","2004-11-10","126240000"
"58381589728","36و619","986797","1970-04-04","382953000"
"58381589728","45ق467","879183","2020-11-17","382746000"
"77799715582","6027800289","183910","1999-08-15","146945000"
"77799715582","3885908673","401510","2002-05-09","590446000"
"77799715582","8231658005","853744","1997-04-23","265291000"
"17841709752","8448973348","800972","1970-03-09","359959000"
"17841709752","8349160121","511996","1987-02-05","674571000"
"17841709752","5367929383","613659","1973-08-19","294213000"
"90464496232","73ر643","357018","1989-01-15","48747000"
"67961055389","5301120555","573990","2014-11-23","229443000"
"67961055389","8046417863","538409","2010-07-31","200790000"
"67961055389","39ر735","284738","1984-03-24","297930000"
"67961055389","19ط904","594513","1999-12-20","76911000"
"68873616372","9550544346","479905","2019-06-20","451483000"
"68873616372","11ر440","791693","2006-01-31","36112000"
"68873616372","81ر329","287550","1991-07-28","379490000"
"54962199455","79ط893","934107","1979-08-06","216762000"
"22142992496","6077135468","690300","1987-11-26","503403000"
"22142992496","50ر165","901434","1974-07-10","353081000"
"76857778517","7459500017","552312","2017-03-20","102554000"
"76857778517","7351846592","303503","1976-03-21","532970000"
"76857778517","30ط451","856477","1992-12-29","318604000"
"89356381850","1780367502","384415","2018-01-20","395624000"
"89356381850","4721447253","608565","2006-10-21","556317000"
